idea_id,family,description,final_balance,deposited,cagr_percent,daily_drawdown,closed_drawdown,trades,days_in_position,dd_improvement_pp,cagr_change_pp,cagr_retention
1,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": 0.0, ""minutes"": 30}",198912567.39117995,10000.0,229.34782835408197,0.68172649472558,0.6792015294037996,376,764,16.499722219335922,-621.8690165585717,0.26943525580443156
2,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.0025, ""minutes"": 30}",5056013099.818752,10000.0,386.2568332714857,0.6940706550624383,0.6940706550624383,376,956,15.265306185650097,-464.96001164116797,0.45377019449270983
3,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.005, ""minutes"": 30}",85237026493.90991,10000.0,583.2855227625632,0.8469867403458312,0.8210670994010956,376,1083,-0.02630234268919951,-267.9313221500904,0.6852372885341763
4,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.01, ""minutes"": 30}",1876044196401.658,10000.0,891.4777719209571,0.8467218407822853,0.8207594600622853,376,1164,0.0001876136653922167,40.2609270083035,1.0472980853808582
5,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.015, ""minutes"": 30}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
6,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": 0.0, ""minutes"": 60}",1834958.8484699999,10000.0,87.32299609084384,0.9583752180166649,0.9583752180166649,376,780,-11.16515010977257,-763.8938488218098,0.10258607617170025
7,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.0025, ""minutes"": 60}",166515318.13791007,10000.0,222.37194179327076,0.9030943419672852,0.9030943419672852,376,919,-5.6370625048346,-628.8449031193829,0.26124006253199694
8,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.005, ""minutes"": 60}",14196352332.296062,10000.0,450.6292707737333,0.9031340964132084,0.8867224558026804,376,1050,-5.641037949426919,-400.58757413892033,0.5293942119061025
9,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.01, ""minutes"": 60}",777141938184.227,10000.0,791.6455007930873,0.8467201756709611,0.8207574063520182,376,1145,0.000354124797807831,-59.571344119566334,0.9300162532313618
10,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.015, ""minutes"": 60}",996396179161.8763,10000.0,818.7336158981591,0.8467237169189392,0.8207609046107374,376,1173,0.0,-32.483229014494555,0.9618390669679149
11,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": 0.0, ""minutes"": 120}",64550939.00647003,10000.0,187.60553543651451,0.7577682226970901,0.756842779188256,376,747,8.895549422184912,-663.6113094761391,0.22039687837212077
12,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.0025, ""minutes"": 120}",1196233065.4931004,10000.0,308.77306604600744,0.8678723897137743,0.861172968524448,376,914,-2.114867279483512,-542.4437788666462,0.3627431340103376
