Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Final balance
2018-10-12,Yes,2022-09-23,204.0,204,113106.86673720402,20027420.882287204
2018-10-19,Yes,2022-10-07,205.0,205,112500.05775864574,22819628.609388642
2018-10-26,Yes,2022-10-07,204.0,204,112128.95788632528,21676946.774296325
2018-11-02,Yes,2022-10-07,203.0,203,111430.08049409118,20590197.547704093
2018-11-09,Yes,2023-02-03,219.0,219,129116.27606611597,28247539.504496112
2018-11-16,Yes,2022-10-07,201.0,201,105745.8801774723,20737111.562847473
2018-11-23,Yes,2023-02-03,217.0,217,123404.108172315,27947852.187082317
2018-11-30,Yes,2023-02-03,216.0,216,123105.11373720401,27208225.31528721
2018-12-07,Yes,2023-02-03,215.0,215,122553.21228153203,25699172.341611523
2018-12-14,Yes,2023-02-03,214.0,214,122226.46789620288,24651077.416096203
2018-12-21,Yes,2023-02-03,213.0,213,121922.44140306496,23628628.646203063
2018-12-28,Yes,2023-02-03,212.0,212,121711.21417518178,22673954.012665175
2019-01-04,Yes,2023-02-03,211.0,211,121530.48022983903,21732966.151849844
2019-01-11,Yes,2023-02-03,210.0,210,121344.63125821916,20827428.21190822
2019-01-18,Yes,2023-02-10,210.0,210,122280.01391217145,25377642.370992173
2019-01-25,Yes,2023-02-10,209.0,209,121940.05333700616,24394239.41743701
2019-02-01,Yes,2023-02-10,208.0,208,121693.50096197738,23348991.886611983
2019-02-08,Yes,2023-02-10,207.0,207,121420.54526505012,22407284.175905053
2019-02-15,Yes,2023-02-10,206.0,206,121089.06719622022,21416363.722136214
2019-02-22,Yes,2023-02-10,205.0,205,120304.13976938013,20461443.911889378
2019-03-01,Yes,2023-02-17,205.0,205,121530.04153050728,22698485.871510506
2019-03-08,Yes,2023-02-17,204.0,204,122230.43761285895,21150582.97681286
2019-03-15,Yes,2023-02-17,203.0,203,121770.21987833391,20319381.833438333
2019-03-22,Yes,2023-03-24,207.0,207,126179.71049409118,23151036.638184093
2019-03-29,Yes,2023-03-24,206.0,206,125888.27906611597,22387481.377746113
2019-04-05,Yes,2023-03-24,205.0,205,125070.75046518273,21703289.73192518
2019-04-12,Yes,2023-03-24,204.0,204,123887.7567335866,20763163.78961359
2019-04-18,Yes,2023-05-19,211.0,211,131506.75140306496,20697601.73917306
2019-04-26,Yes,2023-05-26,211.0,211,131104.3021751818,20600996.11538518
2019-05-03,Yes,2023-07-14,217.0,217,137788.69622983903,21572044.071859837
2019-05-10,Yes,2023-07-14,216.0,216,138732.17093971884,20482813.471249714
2019-05-17,Yes,2023-07-28,217.0,217,139996.18938250607,22974069.47936251
2019-05-24,Yes,2023-07-28,216.0,216,138851.1957918718,22207524.22724187
2019-05-31,Yes,2023-07-28,215.0,215,138235.58617404,21384660.137234036
2019-06-07,Yes,2023-07-28,214.0,214,137900.5820277895,20593389.199767787
2019-06-14,Yes,2023-09-01,218.0,218,142272.9467918718,22054789.66669187
2019-06-21,Yes,2023-09-01,217.0,217,141818.63617404003,21186029.60039404
2019-06-28,Yes,2023-09-01,216.0,216,141228.1250277895,20356140.385047793
2019-07-05,Yes,2023-10-20,222.0,222,147662.83906920097,21952755.878799208
2019-07-12,Yes,2023-10-20,221.0,221,147314.03728153202,21185660.97854153
2019-07-19,Yes,2023-10-20,220.0,220,146949.0668962029,20380736.5184162
2019-07-26,Yes,2023-10-27,220.0,220,147694.14540306496,21830233.77192306
2019-08-02,Yes,2023-10-27,219.0,219,147431.9501751818,21005974.997865178
2019-08-09,Yes,2023-10-27,218.0,218,145685.249229839,20302320.179169837
2019-08-16,Yes,2023-11-03,218.0,218,145835.8523358042,34291612.0976258
2019-08-23,Yes,2023-11-03,217.0,217,146324.89778545854,32818125.98104545
2019-08-30,Yes,2023-11-03,216.0,216,145584.4501774723,31339520.51158748
2019-09-06,Yes,2023-11-03,215.0,215,143972.07893971883,30268874.131159723
2019-09-13,Yes,2023-11-03,214.0,214,143621.0276632295,29037839.04193323
2019-09-20,Yes,2023-11-03,213.0,213,142920.92417404003,28068278.03491404
2019-09-27,Yes,2023-11-03,212.0,212,142580.2160277895,27194012.177507788
2019-10-04,Yes,2023-11-03,211.0,211,145373.36691217145,26372272.770442173
2019-10-11,Yes,2023-11-03,210.0,210,144766.6293370062,25265245.78334701
2019-10-18,Yes,2023-11-03,209.0,209,143684.73993971883,24231117.15261972
2019-10-25,Yes,2023-11-03,208.0,208,143236.74738250606,23277218.36509251
2019-11-01,Yes,2023-11-03,207.0,207,142908.32879187184,22346344.319081873
2019-11-08,Yes,2023-11-03,206.0,206,142118.91627198923,21787270.43325199
2019-11-15,Yes,2023-11-03,205.0,205,141866.10351120992,20937579.428131208
2019-11-22,Yes,2023-11-03,204.0,204,141519.83813526636,20328598.56328527
2019-11-29,Yes,2023-11-10,204.0,204,142077.48896197736,26587579.832901977
2019-12-06,Yes,2023-11-10,203.0,203,141614.1774940912,25737228.697934095
