Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Total capital incl. $600,Final balance,Catch-up top-ups,Flat $115 top-ups,Catch-up weeks,Flat weeks,Tax paid
2018-08-17,Yes,2022-05-06,192.0,192,92221.13314621004,92821.13314621004,20869344.17669621,44266.133146210035,47955.0,53,139,2696765.3904500003
2018-08-24,Yes,2022-05-20,193.0,193,93363.31436919983,93963.31436919983,21026723.4015392,45408.314369199834,47955.0,54,139,2579348.1838300005
2018-08-31,Yes,2022-05-20,192.0,192,92670.06559924406,93270.06559924406,20174740.170609243,44370.06559924406,48300.0,52,140,2474105.7709899996
2018-09-07,Yes,2022-08-05,202.0,202,102700.19079187182,103300.19079187182,21133196.261681866,54400.19079187182,48300.0,62,140,2376560.7111100005
2018-09-14,Yes,2022-08-05,201.0,201,101829.07417404003,102429.07417404003,20221376.319884043,53529.07417404002,48300.0,61,140,2273215.9532900006
2018-09-21,Yes,2022-08-19,202.0,202,103450.41926505012,104050.41926505012,22593878.66247505,54805.41926505012,48645.0,61,141,2221545.7287900005
2018-09-28,Yes,2022-08-19,201.0,201,102614.91919622022,103214.91919622022,21578857.90779622,53969.91919622022,48645.0,60,141,2120890.8764
2018-10-05,Yes,2022-08-19,200.0,200,101722.99768537818,102322.99768537818,20528551.790145375,53077.99768537819,48645.0,59,141,2016745.1325400001
2018-10-12,Yes,2022-09-23,204.0,204,113106.86673720402,113706.86673720402,20027420.882287204,68256.86673720402,44850.0,74,130,1944597.0574499997
2018-10-19,Yes,2022-10-07,205.0,205,112500.05775864574,113100.05775864574,22819628.609388642,66270.05775864574,46230.0,71,134,1921348.72737
2018-10-26,Yes,2022-10-07,204.0,204,112128.95788632528,112728.95788632528,21676946.774296325,65898.95788632528,46230.0,70,134,1823993.4565899998
2018-11-02,Yes,2022-10-07,203.0,203,111430.08049409118,112030.08049409118,20590197.547704093,65200.08049409118,46230.0,69,134,1731498.29879
2018-11-09,Yes,2023-02-03,219.0,219,129116.27606611597,129716.27606611597,28247539.504496112,83576.27606611597,45540.0,87,132,2819155.4385699998
2018-11-16,Yes,2022-10-07,201.0,201,105745.8801774723,106345.8801774723,20737111.562847473,58135.880177472296,47610.0,63,138,1745359.2483300003
