configuration,idea_id,kind,description,final_balance,cagr_percent,closed_trade_drawdown,daily_equity_drawdown,closed_dd_improvement_pp,daily_dd_improvement_pp,cagr_change_pp,cagr_retention,trades,weeks,days_in_position
leverage_override,1,single,1m <= -0.200%,72184.09835000001,26.874839731003462,0.7147680446274229,0.7147680446274229,25.470832157260194,25.859029996600036,-353.4994500223027,0.07065367048975178,433,433,771
leverage_override,2,single,1m <= -0.240%,183092.08578000005,41.923259748258054,0.893746082142286,0.893746082142286,7.573028405773885,7.961226245113728,-338.45103000504815,0.11021580815950419,433,433,928
leverage_override,3,single,1m <= -0.280%,148791.22299999985,38.42178979903403,0.9539634366132134,0.9540165211839595,1.5512929586811497,1.9341823409463776,-341.9524999542722,0.10101048055575126,433,433,1057
leverage_override,4,single,1m <= -0.320%,92615.05538999992,30.74046440814817,0.9676768976003767,0.9679358281280276,0.17994685996481907,0.542251646539571,-349.633825345158,0.08081635703634193,433,433,1144
leverage_override,5,single,1m <= -0.360%,476067.0871999985,59.23138146854426,0.9678357289891912,0.9678357289891912,0.16406372108336287,0.5522615604232062,-321.1429082847619,0.15571867779749018,433,433,1201
leverage_override,6,single,1m <= -0.400%,5193632.23074,112.32605685938681,0.9678357289891912,0.9678357289891912,0.16406372108336287,0.5522615604232062,-268.04823289391936,0.295304019975263,433,433,1238
leverage_override,7,single,1m <= -0.440%,9987105.80193999,129.72032924779552,0.9843880629939068,0.9843880629939068,-1.4911696793881934,-1.1029718400483501,-250.65396050551067,0.3410333788120284,433,433,1267
leverage_override,8,single,1m <= -0.480%,44768276.14282999,175.20622925310641,0.9843880629939068,0.9843880629939068,-1.4911696793881934,-1.1029718400483501,-205.16806050019977,0.46061533067005495,433,433,1293
leverage_override,9,single,1m <= -0.520%,62115150.46773995,186.2764237240222,0.9793112660303133,0.9793112660303133,-0.9834899830288402,-0.5952921436889969,-194.09786602928398,0.48971875529450953,433,433,1310
leverage_override,10,single,1m <= -0.560%,52744129.643049926,180.69377444177675,0.9870670055724358,0.9870670055724358,-1.75906393724109,-1.3708660979012466,-199.68051531152943,0.4750420291523033,433,433,1325
leverage_override,11,single,1m <= -0.600%,226061188.5004996,234.4613380889499,0.9881072231047126,0.9881072231047126,-1.8630856904687687,-1.4748878511289254,-145.91295166435629,0.6163963874661746,433,433,1330
leverage_override,12,single,1m <= -0.640%,474673427.9777802,265.7145553452263,0.9881072231047126,0.9881072231047126,-1.8630856904687687,-1.4748878511289254,-114.65973440807988,0.6985607663376957,433,433,1334
leverage_override,13,single,1m <= -0.680%,202246470.42688012,230.0077203044453,0.9881072231047126,0.9881072231047126,-1.8630856904687687,-1.4748878511289254,-150.3665694488609,0.6046878732356439,433,433,1337
leverage_override,14,single,1m <= -0.720%,697577245.5654798,283.06858690648124,0.9881072231047126,0.9881072231047126,-1.8630856904687687,-1.4748878511289254,-97.30570284682494,0.7441843324638658,433,433,1343
leverage_override,15,single,1m <= -0.760%,475577940.12392956,265.7984057150385,0.9881072231047126,0.9881072231047126,-1.8630856904687687,-1.4748878511289254,-114.5758840382677,0.698781208076454,433,433,1344
leverage_override,16,single,1m <= -0.800%,620881296.2244078,277.7331762580624,0.9881072231047126,0.9881072231047126,-1.8630856904687687,-1.4748878511289254,-102.64111349524381,0.7301575940849938,433,433,1345
leverage_override,17,single,1m <= -0.840%,620881296.2244078,277.7331762580624,0.9881072231047126,0.9881072231047126,-1.8630856904687687,-1.4748878511289254,-102.64111349524381,0.7301575940849938,433,433,1345
leverage_override,18,single,1m <= -0.880%,620881296.2244078,277.7331762580624,0.9881072231047126,0.9881072231047126,-1.8630856904687687,-1.4748878511289254,-102.64111349524381,0.7301575940849938,433,433,1345
leverage_override,19,single,1m <= -0.920%,1876937686.37381,331.5597924336841,0.9777522145082858,0.9808129516252747,-0.8275848308260891,-0.7454607031851412,-48.81449731962209,0.8716672008739575,433,433,1346
leverage_override,20,single,1m <= -0.960%,1876937686.37381,331.5597924336841,0.9777522145082858,0.9808129516252747,-0.8275848308260891,-0.7454607031851412,-48.81449731962209,0.8716672008739575,433,433,1346
leverage_override,21,single,3m <= -0.300%,369393.56743999966,54.440313543794105,0.6924040187354898,0.6991715610145244,27.7072347464535,27.418678357889892,-325.9339762095121,0.14312301070375094,433,433,720
leverage_override,22,single,3m <= -0.350%,233371.98741999993,46.13141104845842,0.8248433688908113,0.8372283266241982,14.463299730921353,13.613001796922507,-334.2428787048478,0.12127899358912295,433,433,862
leverage_override,23,single,3m <= -0.400%,570482.0605199995,62.73864853926882,0.8944453650247306,0.9019089117055118,7.503100117529426,7.144943288791151,-317.6356412140374,0.16493924597258747,433,433,992
leverage_override,24,single,3m <= -0.450%,124326.09999999996,35.45957667468218,0.9279978623486536,0.9279978623486536,4.147850385137131,4.536048224476974,-344.914713078624,0.09322285346278184,433,433,1071
leverage_override,25,single,3m <= -0.500%,211267.48436999993,44.39075921964262,0.9783891794370981,0.9783891794370981,-0.8912813237073269,-0.5030834843674836,-335.98353053366355,0.11670283827130505,433,433,1153
leverage_override,26,single,3m <= -0.550%,299535.8496,50.59042726873977,0.9863301848204065,0.9863301848204065,-1.68538186203816,-1.2971840226983167,-329.78386248456644,0.13300170025043087,433,433,1222
leverage_override,27,single,3m <= -0.600%,96273.22448000008,31.351791157702145,0.9919691581709289,0.9919691581709289,-2.2492791970904036,-1.8610813577505603,-349.022498595604,0.08242352861975903,433,433,1245
leverage_override,28,single,3m <= -0.650%,3373451.962319999,101.57494814832009,0.985144642779944,0.985144642779944,-1.5668276579919094,-1.178629818652066,-278.7993416049861,0.2670394684514484,433,433,1274
leverage_override,29,single,3m <= -0.700%,128312820.70010048,212.41173625920706,0.9799996452796141,0.9799996452796141,-1.0523279079589276,-0.6641300686190843,-167.96255349409913,0.5584282165783808,433,433,1299
leverage_override,30,single,3m <= -0.750%,358253509.83880025,253.52986074029153,0.9847647594164408,0.9847647594164408,-1.5288393216415952,-1.1406414823017519,-126.84442901301466,0.6665273326036828,433,433,1317
leverage_override,31,single,3m <= -0.800%,510431876.2253799,268.9272292622428,0.9739132254170461,0.9739132254170461,-0.4436859217021194,-0.05548808236227609,-111.44706049106338,0.7070068522156349,433,433,1323
leverage_override,32,single,3m <= -0.850%,591111160.9776704,275.50470994823013,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-104.86957980507606,0.724298979636374,433,433,1330
leverage_override,33,single,3m <= -0.900%,795164366.4346598,289.15651561538726,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-91.21777413791892,0.7601894328949553,433,433,1331
leverage_override,34,single,3m <= -0.950%,3065933851.239199,357.83029285975306,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-22.54399689355313,0.9407320696985746,433,433,1337
leverage_override,35,single,3m <= -1.000%,5204291005.012806,387.95236202694554,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,7.57807227363935,1.0199226721620804,433,433,1340
leverage_override,36,single,3m <= -1.050%,1584622381.9671302,322.8506844320737,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-57.52360532123248,0.8487710477000437,433,433,1341
leverage_override,37,single,3m <= -1.100%,1187144271.3197188,308.39780339500686,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-71.97648635829933,0.8107745757343903,433,433,1346
leverage_override,38,single,3m <= -1.150%,988358858.6856107,299.4837572736662,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-80.89053247964,0.7873396424030078,433,433,1346
leverage_override,39,single,3m <= -1.200%,981648495.1612904,299.1561618711179,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-81.2181278821883,0.7864783975413723,433,433,1346
leverage_override,40,single,3m <= -1.250%,2801033675.174843,352.87528232156734,0.9694763662000249,0.9733583445934233,0.0,0.0,-27.499007431738846,0.9277053992014721,433,433,1346
leverage_override,41,single,5m <= -0.400%,518888.07228000043,60.891508301001515,0.6632552873651067,0.6790450062746272,30.62210788349181,29.431333831879613,-319.48278145230466,0.16008313374832203,433,433,825
leverage_override,42,single,5m <= -0.460%,178679.7609500003,41.50695917019198,0.9069657544063093,0.9120255461847262,6.251061179371553,6.13327984086971,-338.8673305831142,0.10912135832606233,433,433,936
leverage_override,43,single,5m <= -0.520%,53899.38815000003,22.48954183184708,0.9321570565874798,0.9421512896982126,3.7319309612545037,3.1207054895210695,-357.8847479214591,0.05912476851795844,433,433,1042
leverage_override,44,single,5m <= -0.580%,350030.9953600001,53.44221566349325,0.9187514393471057,0.9187514393471057,5.072492685291918,5.460690524631762,-326.93207408981294,0.14049902189276117,433,433,1150
leverage_override,45,single,5m <= -0.640%,428760.74009999994,57.23712360376882,0.9778114916103089,0.9778114916103089,-0.8335125410284028,-0.44531470168855947,-323.1371661495374,0.15047579488321955,433,433,1215
leverage_override,46,single,5m <= -0.700%,1102808.8828699994,76.18242540926559,0.9848820388440995,0.9848820388440995,-1.5405672644074664,-1.152369425067623,-304.1918643440406,0.20028279371530108,433,433,1245
leverage_override,47,single,5m <= -0.760%,3277572.8037099987,100.87625664891124,0.9909869429642877,0.9909869429642877,-2.1510576764262823,-1.762859837086439,-279.49803310439495,0.2652026158611695,433,433,1278
leverage_override,48,single,5m <= -0.820%,25082857.767710038,156.66154754884806,0.9906631497618388,0.9906631497618388,-2.1186783561813916,-1.7304805168415482,-223.71274220445812,0.4118615578630505,433,433,1293
leverage_override,49,single,5m <= -0.880%,43433462.63144997,174.20489171126553,0.9932681553098873,0.9932681553098873,-2.379178910986246,-1.9909810716464027,-206.16939804204065,0.45798282482301067,433,433,1316
