idea_id,family,description,final_balance,deposited,cagr_percent,daily_drawdown,closed_drawdown,trades,days_in_position,dd_improvement_pp,cagr_change_pp,cagr_retention
1,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 0.25}",148161.37260000012,10000.0,38.351095987837944,0.6911213280049349,0.6911213280049349,376,537,15.560238891400434,-812.8657489248156,0.04505443732351571
2,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 0.375}",3780666.5984600014,10000.0,104.36038875644434,0.6432042000000002,0.6150975865320545,376,611,20.3519516918939,-746.8564561562093,0.12260141394071346
3,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 0.5}",67832992.09176,10000.0,189.32832008082468,0.7548474731694053,0.7160576218899732,376,694,9.187624374953396,-661.8885248318289,0.22242078644514174
4,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 0.625}",121000670.82837984,10000.0,210.21208046564897,0.7648457865881082,0.744193134186466,376,750,8.187793033083102,-641.0047644470046,0.24695479386009986
5,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 0.75}",122294821.76553003,10000.0,210.6097559484601,0.7988670281235423,0.7812023250573983,376,798,4.7856688795396956,-640.6070889641935,0.24742197855597126
6,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 0.875}",249170466.3564899,10000.0,238.40458680537228,0.738664457302028,0.7295704698513421,376,864,10.80592596169112,-612.8122581072814,0.2800750340294732
7,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 1.0}",209626938.93555996,10000.0,231.43518469591368,0.777874358305478,0.7628599367866306,376,900,6.88493586134612,-619.78166021674,0.2718874586177416
8,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 1.25}",262843049.45941994,10000.0,240.58853944070086,0.8309064472132187,0.828118381583991,376,971,1.5817269705720505,-610.6283054719528,0.2826407170847148
9,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 1.5}",4626397580.691925,10000.0,381.0847636115912,0.8293196835722783,0.8265054549043296,376,1025,1.7404033346660963,-470.13208130106244,0.44769410507929464
10,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 2.0}",219652916682.53748,10000.0,665.7885588232868,0.7878650091688587,0.7545318095135752,376,1103,5.885870775008051,-185.4282860893668,0.782160929735367
11,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 2.5}",348747791916.0282,10000.0,709.6300151094505,0.7907236424860671,0.7772115959300057,376,1137,5.600007443287214,-141.58682980320316,0.8336653807435732
12,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 3.0}",820353167451.1989,10000.0,797.4746872330684,0.8375997010523004,0.8324402016817756,376,1153,0.9124015866638802,-53.74215767958526,0.9368643160661372
13,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 3.5}",1608136131300.528,10000.0,873.2497276083933,0.8175862063249321,0.801898601441226,376,1162,2.9137510594007154,22.03288269573966,1.025883983414356
14,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 4.0}",1312481828134.6196,10000.0,849.7285420723703,0.8246587568347086,0.8019016547571874,376,1163,2.2064960084230645,-1.4883028402833816,0.9982515585198081
15,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 4.5}",1094716275750.2388,10000.0,829.204296262959,0.8507558234899131,0.8254755052296089,376,1172,-0.4032106570973859,-22.012548649694622,0.9741399047948195
16,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 5.0}",1046265132930.5348,10000.0,824.1526816084719,0.846720154495897,0.8207572778404707,376,1173,0.00035624230422248715,-27.06416330418176,0.9682053245704284
17,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 5.5}",1260834609085.6838,10000.0,845.148187315818,0.846716792537553,0.8207534137921323,376,1175,0.0006924381386164136,-6.068657596835692,0.9928706091366667
18,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 6.0}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
19,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 7.0}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
20,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 8.0}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
21,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 9.0}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
22,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 10.0}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
23,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 12.0}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
24,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 15.0}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
25,previous_range_stop,"{""family"": ""previous_range_stop"", ""multiple"": 20.0}",1329659518073.2446,10000.0,851.2168449126536,0.8467237169189392,0.8207609046107374,376,1177,0.0,0.0,1.0
26,range_expansion_reversal,"{""family"": ""range_expansion_reversal"", ""minimum_expansion"": 0.005, ""minimum_minutes"": 30, ""retracement"": 0.005}",615583.7607900001,10000.0,64.23665063162383,0.5364379897806142,0.5128684956163482,376,471,31.028572713832503,-786.9801942810298,0.07546449652111312
27,range_expansion_reversal,"{""family"": ""range_expansion_reversal"", ""minimum_expansion"": 0.005, ""minimum_minutes"": 30, ""retracement"": 0.0075}",118947.17624999984,10000.0,34.74002435704586,0.6541678986184359,0.6366588592664322,376,583,19.25558183005033,-816.4768205556078,0.04081219088258369
28,range_expansion_reversal,"{""family"": ""range_expansion_reversal"", ""minimum_expansion"": 0.005, ""minimum_minutes"": 30, ""retracement"": 0.01}",5139088.057109999,10000.0,112.05628173672153,0.7591278374102245,0.7591278374102245,376,740,8.759587950871472,-739.1605631759321,0.1316424626773217
29,range_expansion_reversal,"{""family"": ""range_expansion_reversal"", ""minimum_expansion"": 0.005, ""minimum_minutes"": 30, ""retracement"": 0.015}",152581260.46440998,10000.0,218.99718332888037,0.7995737287113817,0.793206134395048,376,956,4.714998820755756,-632.2196615837732,0.2572754341478668
30,range_expansion_reversal,"{""family"": ""range_expansion_reversal"", ""minimum_expansion"": 0.005, ""minimum_minutes"": 30, ""retracement"": 0.02}",4602555702.042266,10000.0,380.78552859230524,0.7514483137533372,0.7068527345008624,376,1073,9.527540316560202,-470.4313163203484,0.4473425671356151
31,range_expansion_reversal,"{""family"": ""range_expansion_reversal"", ""minimum_expansion"": 0.01, ""minimum_minutes"": 30, ""retracement"": 0.005}",963080.5777699994,10000.0,73.33139063742098,0.6258222525660746,0.6258222525660746,376,679,22.090146435286464,-777.8854542752326,0.08614889505029212
