idea_id,description,final_balance,cagr_percent,daily_drawdown,closed_drawdown,dd_improvement_pp,cagr_change_pp,cagr_retention,trades,days_in_position,structural_exits
1,OR5 entry-0.50% persist-1m slow-15m/-0.75%,1963221395.904519,333.9018976896357,0.7798630852701016,0.7798630852701016,6.68606316488376,-517.314947223018,0.39226420351667096,376,1003,86
2,OR5 entry-0.50% persist-1m slow-15m/-1.00%,58626132206.400696,553.174367692397,0.8325715951932932,0.8325715951932932,1.415212172564606,-298.0424772202566,0.6498630413607007,376,1113,37
3,OR5 entry-0.50% persist-1m slow-15m/-1.25%,689143416954.5481,778.8348978294961,0.7478535867186453,0.7468902644656974,9.88701302002939,-72.38194708315757,0.9149665005858937,376,1149,17
4,OR5 entry-0.50% persist-1m slow-15m/-1.50%,253161375656.16638,678.994102202913,0.8018882610124686,0.8018882610124686,4.483545590647065,-172.2227427097406,0.7976746539509413,376,1167,6
5,OR5 entry-0.50% persist-1m slow-75m/-0.75%,47977564.041179985,177.5102931844494,0.7720799292083059,0.7520626225688813,7.464378771063329,-673.7065517282042,0.20853710102819262,376,821,164
6,OR5 entry-0.50% persist-1m slow-75m/-1.00%,121486839.81806,210.36191052451954,0.6969841803950032,0.6969841803950032,14.9739536523936,-640.8549343881341,0.2471308125323877,376,922,122
7,OR5 entry-0.50% persist-1m slow-75m/-1.25%,5222514986.3723,388.15780825465396,0.7700628849045545,0.7700628849045545,7.666083201438467,-463.0590366579997,0.4560034385767873,376,1005,86
8,OR5 entry-0.50% persist-1m slow-75m/-1.50%,547228253109.03595,754.7676399970757,0.5977036909085074,0.5878361634940994,24.902002601043183,-96.44920491557798,0.8866925560836675,376,1072,49
9,OR5 entry-0.50% persist-3m slow-15m/-0.75%,3117425707.21284,358.7494740586411,0.7799697718497766,0.7799697718497766,6.675394506916266,-492.46737085401253,0.4214548574816487,376,1004,84
10,OR5 entry-0.50% persist-3m slow-15m/-1.00%,74929517996.84499,572.7621322256117,0.8418725567091199,0.8418725567091199,0.48511602098193496,-278.45471268704193,0.6728745273883587,376,1113,36
11,OR5 entry-0.50% persist-3m slow-15m/-1.25%,613752269191.0162,766.6586283190807,0.7478563092152493,0.7468929973635658,9.886740770368995,-84.55821659357298,0.9006619557649264,376,1149,17
12,OR5 entry-0.50% persist-3m slow-15m/-1.50%,369189902447.16315,715.2027743792887,0.8018814713425398,0.8018814713425398,4.484224557639937,-136.01407053336493,0.8402121958156011,376,1168,5
13,OR5 entry-0.50% persist-3m slow-75m/-0.75%,40049093.18205002,171.5391834328484,0.7802050686423806,0.7609013604454934,6.651864827655862,-679.6776614798052,0.20152230827909737,376,821,164
14,OR5 entry-0.50% persist-3m slow-75m/-1.00%,113489685.77012998,207.82733817979602,0.7003942769351548,0.7003942769351548,14.632943998378444,-643.3895067328576,0.24415322537598738,376,922,122
15,OR5 entry-0.50% persist-3m slow-75m/-1.25%,4895997693.666892,384.37729863423914,0.7693780416213101,0.7693780416213101,7.734567529762915,-466.8395462784145,0.451562138286492,376,1005,86
16,OR5 entry-0.50% persist-3m slow-75m/-1.50%,518094277215.91125,749.1548068875729,0.5971570837805782,0.5878361754443462,24.956663313836103,-102.06203802508071,0.8800986627143714,376,1072,49
17,OR5 entry-0.50% persist-5m slow-15m/-0.75%,2151398742.0250297,338.7110088739985,0.7792096592019542,0.7792096592019542,6.751405771698504,-512.5058360386552,0.3979138933848928,376,1006,84
18,OR5 entry-0.50% persist-5m slow-15m/-1.00%,85473282609.40378,583.5133130024057,0.8494021744043447,0.8494021744043447,-0.26784574854055165,-267.703531910248,0.685504893952471,376,1114,35
19,OR5 entry-0.50% persist-5m slow-15m/-1.25%,1383570734306.678,855.7804264394445,0.6576206780458278,0.6576206780458278,18.91030388731114,4.563581526790813,1.0053612443809885,376,1150,16
20,OR5 entry-0.50% persist-5m slow-15m/-1.50%,388639897162.7751,720.2585643177403,0.8018876565633879,0.8018876565633879,4.483606035555132,-130.9582805949134,0.846151681116753,376,1168,5
21,OR5 entry-0.50% persist-5m slow-75m/-0.75%,36540418.703839995,168.55756579905358,0.7810432416252262,0.7618131468032219,6.568047529371301,-682.6592791136001,0.19801953733228794,376,821,164
22,OR5 entry-0.50% persist-5m slow-75m/-1.00%,98086589.98626,202.46757509950507,0.7084263918706446,0.7084263918706446,13.829732504829462,-648.7492698131485,0.237856635837935,376,923,122
23,OR5 entry-0.50% persist-5m slow-75m/-1.25%,4341820111.017389,377.4208966575237,0.7782475774206499,0.7782475774206499,6.847613949828935,-473.79594825512993,0.4433898352848647,376,1005,86
24,OR5 entry-0.50% persist-5m slow-75m/-1.50%,508389683265.0812,747.2234275846466,0.5969704284990015,0.5878361191564798,24.975328841993772,-103.99341732800701,0.877829699976534,376,1072,49
25,OR5 entry-0.50% persist-10m slow-15m/-0.75%,1983798580.0626917,334.44705483703945,0.7851066288719988,0.7851066288719988,6.161708804694044,-516.7697900756142,0.39290464801757796,376,1026,75
26,OR5 entry-0.50% persist-10m slow-15m/-1.00%,210128686058.17334,661.7115623074559,0.7970129476173626,0.7970129476173626,4.9710769301576585,-189.50528260519775,0.7773713199664845,376,1126,29
27,OR5 entry-0.50% persist-10m slow-15m/-1.25%,921636839759.3265,810.1451006529226,0.6775955795371492,0.6576206500381787,16.912813738179,-41.07174425973108,0.9517493756083438,376,1152,15
28,OR5 entry-0.50% persist-10m slow-15m/-1.50%,687592647830.7329,778.5965111692851,0.8018924764805317,0.8018924764805317,4.483124043840747,-72.62033374336852,0.9146864466118262,376,1172,3
29,OR5 entry-0.50% persist-10m slow-75m/-0.75%,33806395.60534,166.05423153126125,0.7830430776860788,0.7639886204528117,6.368063923286038,-685.1626133813924,0.19507864831822103,376,821,162
30,OR5 entry-0.50% persist-10m slow-75m/-1.00%,107027822.45221005,205.66187353282598,0.6617876466674528,0.6617876466674528,18.49360702514864,-645.5549713798276,0.24160926180206133,376,925,119
