idea_id,family,description,final_balance,deposited,cagr_percent,daily_drawdown,closed_drawdown,trades,days_in_position,dd_improvement_pp,cagr_change_pp,cagr_retention
1,entry+persistence,"{""entry_loss"": 0.01, ""opening_range_minutes"": 15, ""persistence"": 3}",90871816.84109996,10000.0,199.6975284125657,0.7271574804637388,0.724514802242407,376,893,11.956623645520036,-651.5193165000879,0.23460241606597595
2,entry+persistence,"{""entry_loss"": 0.01, ""opening_range_minutes"": 15, ""persistence"": 5}",109757222.81842998,10000.0,206.5901935831,0.725623322881916,0.725623322881916,376,893,12.110039403702322,-644.6266513295536,0.2426998417827351
3,entry+persistence,"{""entry_loss"": 0.01, ""opening_range_minutes"": 15, ""persistence"": 10}",102638483.72607003,10000.0,204.12436498976186,0.7251826261636772,0.7251826261636772,376,894,12.154109075526199,-647.0924799228918,0.23980301401425835
4,entry+persistence,"{""entry_loss"": 0.01, ""opening_range_minutes"": 15, ""persistence"": 15}",362910611.28352994,10000.0,254.08014669778117,0.7685254841375132,0.7685254841375132,376,904,7.819823278142602,-597.1366982148725,0.29849050593430543
5,entry+persistence,"{""entry_loss"": 0.01, ""opening_range_minutes"": 15, ""persistence"": 30}",728097873.3603903,10000.0,285.04907834554405,0.7777239217475771,0.7777239217475771,376,915,6.899979517136212,-566.1677665671095,0.3348724594081476
6,entry+persistence,"{""entry_loss"": 0.015, ""opening_range_minutes"": 15, ""persistence"": 3}",240171224.97712997,10000.0,236.90885316593383,0.781293333158293,0.781293333158293,376,1006,6.543038376064625,-614.3079917467198,0.27831786292979654
7,entry+persistence,"{""entry_loss"": 0.015, ""opening_range_minutes"": 15, ""persistence"": 5}",471221436.50621974,10000.0,265.3932506325367,0.7790446699803752,0.7790446699803752,376,1008,6.767904693856397,-585.8235942801169,0.3117810135204381
8,entry+persistence,"{""entry_loss"": 0.015, ""opening_range_minutes"": 15, ""persistence"": 10}",413788860.26953006,10000.0,259.71879862429057,0.7881137727366974,0.7881137727366974,376,1016,5.860994418224186,-591.4980462883631,0.3051147309601718
9,entry+persistence,"{""entry_loss"": 0.015, ""opening_range_minutes"": 15, ""persistence"": 15}",265538223.9200901,10000.0,241.0072143951486,0.8165607910511746,0.8107328800852851,376,1016,3.016292586776459,-610.209630517505,0.2831325717242816
10,entry+persistence,"{""entry_loss"": 0.015, ""opening_range_minutes"": 15, ""persistence"": 30}",411836575.89471,10000.0,259.5139951966241,0.825520298246853,0.8226434241647922,376,1019,2.1203418672086194,-591.7028497160295,0.30487413019094295
11,entry+persistence,"{""entry_loss"": 0.02, ""opening_range_minutes"": 15, ""persistence"": 3}",192727227.54314002,10000.0,228.09734242558744,0.8869054261158565,0.8850406885838695,376,1060,-4.018170919691732,-623.1195024870663,0.26796619896425256
12,entry+persistence,"{""entry_loss"": 0.02, ""opening_range_minutes"": 15, ""persistence"": 5}",486037452.2678099,10000.0,266.7579717857528,0.8439594923144041,0.8413866492398131,376,1063,0.27642246045350705,-584.4588731269009,0.31338427262106844
13,entry+persistence,"{""entry_loss"": 0.02, ""opening_range_minutes"": 15, ""persistence"": 10}",371497017.1142501,10000.0,255.07863768606765,0.8467169950559889,0.8441896185204207,376,1066,0.0006721862950365143,-596.138207226586,0.2996635219457413
14,entry+persistence,"{""entry_loss"": 0.02, ""opening_range_minutes"": 15, ""persistence"": 15}",278501010.54880977,10000.0,242.97011269862486,0.8537950717461169,0.8513844006793001,376,1066,-0.7071354827177689,-608.2467322140287,0.28543856263036815
15,entry+persistence,"{""entry_loss"": 0.02, ""opening_range_minutes"": 15, ""persistence"": 30}",313715941.0689901,10000.0,247.92312126738824,0.8448905395537397,0.8448905395537397,376,1070,0.1833177365199501,-603.2937236452653,0.2912573015314664
16,entry+persistence,"{""entry_loss"": 0.025, ""opening_range_minutes"": 15, ""persistence"": 3}",23428184459.236504,10000.0,484.86898943431396,0.7964152321641964,0.7819219378516733,376,1105,5.030848475474281,-366.3478554783397,0.5696186492691743
17,entry+persistence,"{""entry_loss"": 0.025, ""opening_range_minutes"": 15, ""persistence"": 5}",23691080012.399525,10000.0,485.6554493499984,0.7975813564229246,0.7831735207245036,376,1105,4.914236049601461,-365.56139556265526,0.5705425735551947
18,entry+persistence,"{""entry_loss"": 0.025, ""opening_range_minutes"": 15, ""persistence"": 10}",24054843258.92972,10000.0,486.7310933411599,0.8042950125409265,0.7903620678912515,376,1108,4.242870437801272,-364.4857515714937,0.5718062280488647
19,entry+persistence,"{""entry_loss"": 0.025, ""opening_range_minutes"": 15, ""persistence"": 15}",18238355177.974224,10000.0,467.49535677616143,0.8028099168781355,0.788766422935002,376,1108,4.39138000408037,-383.7214881364922,0.54920830052903
20,entry+persistence,"{""entry_loss"": 0.025, ""opening_range_minutes"": 15, ""persistence"": 30}",24386131763.081768,10000.0,487.6983328217123,0.8129346108997686,0.7996144254844064,376,1109,3.3789106019170623,-363.51851209094133,0.5729425301396106
21,entry+persistence,"{""entry_loss"": 0.03, ""opening_range_minutes"": 15, ""persistence"": 3}",48693445403.63671,10000.0,538.7348297842815,0.8445665002043603,0.8439726684410679,376,1135,0.21572167145789134,-312.48201512837215,0.6328996342166642
22,entry+persistence,"{""entry_loss"": 0.03, ""opening_range_minutes"": 15, ""persistence"": 5}",49221782616.43629,10000.0,539.5654546510245,0.8455006130442994,0.8449103500475572,376,1135,0.12231038746398637,-311.6513902616291,0.6338754429917224
